real.iter	 postA	 log.lik	 priorMBM	 priorVOU	 sumHpriorA	 mbm_anc.st	 mbm_sig.sq	 vou_alpha	 vou_sig.sq	 vou_anc.st	 vou_theta1	 sp1_mean	 sp2_mean	 sp3_mean	 sp4_mean	 sp5_mean	 sp6_mean	 sp7_mean	 sp8_mean	 sp9_mean	 sp10_mean	 sp11_mean	 sp12_mean	 sp13_mean	 sp14_mean	 sp15_mean	 sp16_mean	 sp17_mean	 sp18_mean	 sp19_mean	 sp20_mean	 sp21_mean	 sp22_mean	 sp23_mean	 sp24_mean	 sp25_mean	 sp26_mean	 sp27_mean	 sp28_mean	 sp29_mean	 sp30_mean	 sp31_mean	 sp32_mean	 sp33_mean	 sp34_mean	 sp35_mean	 sp36_mean	 sp37_mean	 sp38_mean	 sp39_mean	 sp40_mean	 sp41_mean	 sp42_mean	 sp43_mean	 sp44_mean	 sp45_mean	 sp46_mean	 sp47_mean	 sp48_mean	 sp49_mean	 sp50_mean	 sp1_var	 sp2_var	 sp3_var	 sp4_var	 sp5_var	 sp6_var	 sp7_var	 sp8_var	 sp9_var	 sp10_var	 sp11_var	 sp12_var	 sp13_var	 sp14_var	 sp15_var	 sp16_var	 sp17_var	 sp18_var	 sp19_var	 sp20_var	 sp21_var	 sp22_var	 sp23_var	 sp24_var	 sp25_var	 sp26_var	 sp27_var	 sp28_var	 sp29_var	 sp30_var	 sp31_var	 sp32_var	 sp33_var	 sp34_var	 sp35_var	 sp36_var	 sp37_var	 sp38_var	 sp39_var	 sp40_var	 sp41_var	 sp42_var	 sp43_var	 sp44_var	 sp45_var	 sp46_var	 sp47_var	 sp48_var	 sp49_var	 sp50_var	 acc	 temperature	 
1000	 -1349.62650390994	 -1275.39161121083	 -16.2841306304759	 -37.1638724048165	 -20.7868896638159	 350.038457688844	 0.267606277295456	 6.11986518627964	 4.10135569058601	 0.720247347044898	 0.96628613335871	 349.848011677806	 349.184512896136	 349.820871949036	 349.839206208742	 349.720068772131	 350.54794592911	 350.087026869916	 349.514073767267	 349.556044387369	 351.489990000854	 350.645848926212	 350.196066987361	 350.109810918053	 349.732477011757	 349.891716180467	 349.984218103441	 351.042136829114	 350.71538122797	 350.709312924268	 350.566670903469	 350.233127704922	 350.244392605853	 350.351784355716	 350.157880107256	 349.206242322165	 349.266881881272	 349.263229806076	 349.415428194412	 349.746101722579	 349.956478806683	 350.066408138617	 349.899694710825	 350.300597521377	 349.771818990213	 350.425788224725	 349.993009142817	 349.792751675647	 350.505621571627	 350.670790950085	 350.618106913733	 350.936499073453	 349.316949018417	 349.20378590163	 349.3781801961	 349.376945750964	 350.364246842885	 350.309076184019	 350.319696143002	 350.005496798756	 350.019788013825	 0.65598779845574	 1.23343617459639	 0.903384093403073	 0.591458563324078	 0.71689615916047	 0.00921724684575975	 1.55348073219154	 0.652943349868102	 0.726782599631025	 1.6206081378991	 0.971653581258269	 1.69977869985685	 0.37818377107823	 0.103317856974087	 0.553915467197724	 0.0389511715689713	 2.15995319847388	 0.269858241891043	 0.174054897805536	 1.19180215425591	 1.52668858683793	 1.64106516084025	 1.53647208821548	 0.882966129673341	 0.923662279527277	 0.855142825579622	 2.0504038628031	 1.41206223588489	 0.691398562166106	 0.230018971484197	 0.521860652086555	 0.45521109655985	 1.27443069865999	 0.366245462892434	 0.590652750273188	 0.471625577490905	 0.615348606522059	 0.994349892268133	 1.38418063777091	 1.61686308123811	 1.96618513046106	 2.58716918337863	 2.12069790151121	 2.11762128970284	 2.11227932930127	 1.01561844931683	 1.18468450255832	 0.67194134469427	 0.897084063030385	 0.068063317536509	 0.555	 1	 
2000	 -1358.47038364672	 -1284.03720138575	 -14.5218906575853	 -39.1593275342936	 -20.7519640690919	 350.038457688844	 0.267606277295456	 5.04857019579504	 4.7178323475372	 0.208724527209412	 1.23532123721841	 349.270442798095	 349.184512896136	 349.820871949036	 349.839206208742	 349.865114781391	 350.54794592911	 350.562149120075	 349.514073767267	 349.435444511962	 350.899687341943	 350.572968006825	 350.196066987361	 350.158275632764	 349.680778521861	 350.142918131257	 350.076020529012	 351.042136829114	 350.71538122797	 350.709312924268	 350.79743726294	 350.233127704922	 350.244392605853	 350.472931938975	 350.157880107256	 349.206242322165	 349.385671766664	 349.263229806076	 349.415428194412	 349.942090674326	 349.785705424183	 350.066408138617	 350.092938929375	 350.300597521377	 349.771818990213	 350.090023648324	 349.993009142817	 349.927481076867	 350.570502446595	 350.867150533357	 350.618106913733	 350.643617154189	 349.316949018417	 349.306327260676	 349.3781801961	 349.376945750964	 350.364246842885	 350.309076184019	 350.319696143002	 350.005496798756	 350.019788013825	 0.829840424017805	 1.25355743804511	 0.799509193373901	 0.842645175668261	 0.835629008215538	 0.00921724684575975	 1.54913666481139	 1.32302248994563	 0.749606950483914	 1.79353170984176	 0.921856257867689	 1.2361283086125	 0.403912090773378	 0.301659099209463	 0.554042141080267	 0.0389511715689713	 2.8973086014023	 0.32643579771149	 0.128877060617614	 1.27605450517666	 1.69232034312055	 1.64106516084025	 2.25607568411185	 1.825083296729	 0.838318411839417	 0.95957295759125	 1.78696734825021	 1.58312204017239	 0.856972262443284	 0.438703326742872	 0.544460404797602	 0.282559342601519	 1.14156526776606	 0.226083960461202	 0.636568827347059	 0.67913710418625	 0.449006348885226	 0.810971293421197	 1.72526014208619	 1.80582829949642	 1.1951172198402	 2.15126136345682	 2.19879362070374	 2.35169127970288	 2.11227932930127	 1.34442746540033	 1.18468450255832	 0.6773112741459	 1.16301768741814	 0.0656636909519116	 0.531	 1	 
3000	 -1365.35514865533	 -1287.21344346232	 -9.01370537560891	 -48.8123486327183	 -20.3156511846828	 350.038457688844	 0.267606277295456	 3.56158868351486	 3.96954210715532	 0.925479790071886	 0.894981761151383	 349.270442798095	 349.184512896136	 349.820871949036	 349.839206208742	 349.865114781391	 350.56551604315	 350.562149120075	 349.514073767267	 349.474518027289	 350.499609041079	 350.572968006825	 350.196066987361	 350.158275632764	 349.680778521861	 350.142918131257	 350.061557288118	 351.042136829114	 350.71538122797	 350.709312924268	 350.79743726294	 350.233127704922	 350.244392605853	 350.472931938975	 350.157880107256	 349.206242322165	 349.385671766664	 349.458247568726	 349.415428194412	 349.751340947898	 349.98546747244	 349.936710844506	 350.092938929375	 350.300597521377	 349.771818990213	 350.020566996474	 349.963438943116	 350.154407454779	 350.570502446595	 350.514389107306	 350.618106913733	 350.643617154189	 349.316949018417	 349.306327260676	 349.3781801961	 349.443360737004	 350.364246842885	 350.309076184019	 350.319696143002	 350.005496798756	 350.019788013825	 0.742787821052822	 2.17513650335169	 0.818727135708889	 0.881006240967012	 0.627862318659324	 0.00988105871750436	 1.54913666481139	 1.16925565312178	 0.424791669238142	 2.35002957960806	 0.707003576095769	 0.732487870807744	 0.353732259199618	 0.429238277171275	 0.576200960030816	 0.0384763988402545	 2.82682215396181	 0.32643579771149	 0.231848638600337	 2.2006859157587	 1.6715185760974	 1.64106516084025	 2.16317128589296	 1.68263672198303	 0.730877352006539	 1.14630699108141	 2.52458337685443	 1.58312204017239	 0.436827119744462	 0.18625905315261	 0.429298972149849	 0.334847367048634	 1.17941848829677	 0.288794669014743	 0.578901573640068	 0.513626724796815	 0.463625824463786	 1.54120920453132	 1.6367061721833	 1.46160626074148	 1.04241253419911	 2.83820925535509	 2.79904617977859	 1.80106000745872	 2.18444211031657	 1.21676895725346	 0.945958811506043	 1.1372982775391	 0.959899075861413	 0.0448674946565136	 0.521	 1	 
4000	 -1366.3119887822	 -1294.66455675851	 -11.999624547293	 -39.1660051019415	 -20.4818023744552	 350.038457688844	 0.267606277295456	 4.05300260824151	 4.21835300524315	 1.3347307779607	 0.7953777696933	 349.302849592648	 349.184512896136	 349.820871949036	 349.839206208742	 349.865114781391	 350.56551604315	 350.562149120075	 349.336022419927	 349.737132194274	 350.871475836452	 350.572968006825	 350.196066987361	 350.158275632764	 349.626239546935	 349.985280258949	 350.061557288118	 351.042136829114	 350.71538122797	 350.709312924268	 350.79743726294	 350.233127704922	 350.244392605853	 350.435476365965	 349.688315125925	 348.940381024604	 349.385671766664	 349.458247568726	 349.415428194412	 349.720984642659	 349.98546747244	 350.034972666459	 350.092938929375	 350.300597521377	 349.771818990213	 350.020566996474	 349.963438943116	 349.799304473078	 350.414630129738	 350.514389107306	 350.618106913733	 350.643617154189	 349.316949018417	 349.306327260676	 349.3781801961	 349.443360737004	 350.364246842885	 350.309076184019	 350.319696143002	 350.005496798756	 349.991730055	 0.537374581633117	 1.42255173011175	 0.879158569584055	 1.14000608302589	 0.659796264777954	 0.0100218103756711	 1.86827883235583	 0.414019515060353	 0.888611706643118	 1.5268449758015	 0.711322584851126	 0.947353135146467	 0.451232803185217	 0.698041187491909	 0.838601333527444	 0.031444572223026	 2.24820159199863	 0.193188920816127	 0.241291227261981	 0.828929094197852	 1.65076612296383	 1.64106516084025	 1.40677499890445	 1.34963189649545	 0.830225688722134	 1.49987142024131	 2.84149861920365	 1.77564506583016	 0.77485436394546	 0.321848903863538	 1.02322909092186	 0.481437794226998	 1.6789206754322	 0.184549554132271	 0.519052260137419	 0.342219562793558	 0.564398698015584	 1.0508033972856	 1.94502013430632	 1.44723555202323	 1.53897981466266	 2.4118827802964	 2.25423993233248	 1.90862687334666	 2.040324597394	 1.32980670753713	 1.2533829331299	 1.35095977525064	 1.33870008577077	 0.119207998531794	 0.52675	 1	 
5000	 -1365.53101622538	 -1304.13359302047	 -10.3616909675419	 -30.170021154115	 -20.8657110832594	 350.038457688844	 0.267606277295456	 5.9253285988234	 4.33243897207622	 1.5587780615402	 0.767330822755227	 349.614737702941	 349.184512896136	 349.820871949036	 349.839206208742	 349.865114781391	 350.56551604315	 350.562149120075	 349.336022419927	 349.562456863777	 350.871475836452	 350.572968006825	 350.136105488718	 350.158275632764	 349.626239546935	 349.985280258949	 350.061557288118	 350.651294958381	 350.71538122797	 350.709312924268	 350.768791397264	 350.233127704922	 350.244392605853	 350.435476365965	 349.688315125925	 348.940381024604	 349.202215745857	 349.458247568726	 349.415428194412	 349.720984642659	 349.98546747244	 350.217177885586	 350.206091657841	 350.153498806765	 349.771818990213	 350.020566996474	 349.963438943116	 349.843512625762	 350.518740787954	 350.514389107306	 350.618106913733	 350.643617154189	 349.316949018417	 349.306327260676	 349.3781801961	 349.443360737004	 350.364246842885	 350.309076184019	 350.352905213701	 350.294485031163	 349.991889555962	 0.779638226099956	 1.12283708816057	 0.895309270520594	 1.1078586605003	 0.788482172745214	 0.0100218103756711	 1.84622744006259	 0.887658014134259	 0.916326589112817	 1.5268449758015	 0.920239506065584	 0.95428206186128	 0.509404895380814	 0.504729065921491	 0.490649781354833	 0.0956666429781525	 1.33794241243223	 0.151362396438627	 0.148765398713911	 1.30427724546392	 1.60412823851213	 1.64106516084025	 1.26589152096194	 0.789190917695543	 0.664631062931161	 1.81332041597462	 1.98543923754881	 1.31878111054064	 0.797248133582878	 0.257914003450648	 0.768689239495913	 0.649955219501683	 1.26666829443377	 0.504514637954993	 0.473528132852483	 0.276139259014667	 0.570582598243515	 1.41636732512839	 2.10563851426525	 1.86962097937341	 1.44756674651504	 1.43355672282644	 1.52359245046354	 1.7304674691321	 1.85239314527221	 1.00026078162705	 1.13763212734409	 1.49221507176806	 0.944092815769849	 0.110981468112485	 0.5298	 1	 
6000	 -1350.35824910578	 -1286.06375908691	 -6.66947725820255	 -36.8262488386401	 -20.798763922018	 350.038457688844	 0.267606277295456	 3.00640469498467	 3.85887968172102	 4.82235400727339	 0.632217420038138	 349.614737702941	 349.184512896136	 349.820871949036	 349.839206208742	 349.865114781391	 350.544229109463	 350.292284203026	 349.646473038121	 349.562456863777	 350.871475836452	 350.572968006825	 350.136105488718	 350.158275632764	 349.626239546935	 349.985280258949	 350.061557288118	 350.651294958381	 350.71538122797	 350.694916902137	 350.768791397264	 350.27622517333	 350.244392605853	 350.435476365965	 349.688315125925	 348.940381024604	 349.202215745857	 349.211941715767	 349.415428194412	 349.720984642659	 349.915233699286	 350.064072826893	 350.206091657841	 350.153498806765	 350.030838108508	 350.06213595625	 349.963438943116	 349.843512625762	 350.518740787954	 350.514389107306	 350.618106913733	 350.443192892585	 349.316949018417	 349.306327260676	 349.3781801961	 349.443360737004	 350.283785111083	 350.309076184019	 350.352905213701	 350.294485031163	 349.991889555962	 1.1013473297948	 1.16546611952935	 1.02989034224721	 1.09329187028881	 1.09452282319929	 0.0100218103756711	 1.61820576318393	 0.98709621004281	 0.532777812317319	 1.64195822037149	 1.04153478681088	 1.17039348802428	 0.363165327966674	 0.204480747738973	 0.581216325309513	 0.0404882137646433	 2.44088931829201	 0.354841465293196	 0.211840961103623	 1.11994618546527	 1.75159552332057	 1.55978458174886	 1.29457238340876	 1.63503410816457	 0.967458957076318	 0.918880861840706	 2.02095560140627	 1.68081363813407	 0.449125377789593	 0.183328257946061	 0.977333977477758	 0.707861536008422	 1.01336747340385	 0.566328123269097	 0.760718916789908	 0.325825327507543	 0.543744658290749	 1.41636732512839	 1.28829615338659	 1.63938836961677	 1.73298828691812	 2.03175110953584	 2.33347610819642	 1.65638268000223	 1.85239314527221	 1.47870422192261	 1.45602153324845	 1.17865018687347	 1.42820125514443	 0.0625445868125616	 0.523833333333333	 1	 
7000	 -1353.64335103865	 -1289.29869937748	 -6.69682716603636	 -36.3594282376293	 -21.2883962575004	 350.038457688844	 0.267606277295456	 2.59786482795607	 2.20925056502321	 9.31105281435698	 0.604581714874794	 349.614737702941	 349.30448592461	 349.820871949036	 349.839206208742	 349.865114781391	 350.562284718891	 349.916414513615	 349.646473038121	 349.562456863777	 350.871475836452	 350.572968006825	 350.136105488718	 350.158275632764	 349.889997877383	 349.985280258949	 350.061557288118	 350.651294958381	 350.71538122797	 350.694916902137	 350.768791397264	 350.27622517333	 350.244392605853	 350.435476365965	 349.379813136844	 348.940381024604	 349.202215745857	 349.211941715767	 349.415428194412	 349.720984642659	 349.922036888548	 349.787991891056	 350.206091657841	 350.153498806765	 350.030838108508	 350.06213595625	 349.963438943116	 349.843512625762	 350.518740787954	 350.514389107306	 350.618106913733	 350.443192892585	 349.246190174076	 349.306327260676	 349.3781801961	 349.443360737004	 350.283785111083	 350.309076184019	 350.352905213701	 350.294485031163	 349.991889555962	 0.785899192076103	 2.11270884465756	 1.30316008659296	 1.09329187028881	 1.09452282319929	 0.00573385982072447	 1.87635819318841	 0.975243466318495	 0.795667105306739	 1.92192538866597	 0.713153000707945	 1.2036784491423	 0.548140340056538	 0.204480747738973	 0.704188869096194	 0.0404882137646433	 2.36355768922277	 0.386997923317875	 0.307910761616555	 0.699215759947984	 1.75159552332057	 1.82914211465167	 1.28242226274076	 1.26127523595118	 0.722741389133801	 0.983636693714044	 2.02095560140627	 1.0655449174063	 0.543595682293619	 0.183328257946061	 0.613940027579576	 0.786366015748387	 0.798004132629861	 0.863260684406142	 0.744527145515722	 0.407475830120344	 0.553116539252984	 1.92469066151381	 1.51737907643754	 1.51176988099794	 1.0437132036775	 1.82009079863835	 1.81592923741313	 1.65638268000223	 1.85239314527221	 1.83033632194339	 1.74385022321911	 0.678632008010041	 1.80635204141358	 0.0866078603990469	 0.519428571428571	 1	 
8000	 -1356.13671216343	 -1293.57205127615	 -5.50460349061058	 -35.9999142650214	 -21.0601431316477	 350.038457688844	 0.267606277295456	 4.87033356400207	 4.11729478476386	 4.03095024176157	 1.04198778746373	 349.602122036367	 349.049138010988	 349.820871949036	 349.839206208742	 349.767454257422	 350.578696990884	 350.254095441997	 349.646473038121	 349.922659260319	 351.365482388035	 350.572968006825	 349.902945145144	 350.067555498249	 349.762434219803	 349.989919478114	 350.003610156446	 350.651294958381	 350.645740853525	 350.694916902137	 350.479386164042	 350.27622517333	 350.244392605853	 350.121137840761	 349.47454087822	 349.224566001737	 349.202215745857	 349.211941715767	 349.495330933889	 349.795160536543	 350.097650383613	 349.979801865098	 350.005796492572	 350.153498806765	 349.949962731626	 349.979120819951	 349.905516703223	 349.855731155584	 350.518740787954	 350.514389107306	 350.618106913733	 350.443192892585	 349.649735795959	 349.596130226789	 349.3781801961	 349.443360737004	 350.283785111083	 350.309076184019	 350.352905213701	 349.88543856609	 350.054813049754	 0.914575319761391	 1.63948787084015	 0.941727707695613	 1.14454357185909	 1.20115298239913	 0.00573385982072447	 2.51694412657727	 0.975243466318495	 0.661175353694244	 1.53161656451298	 0.713153000707945	 1.16529057751374	 0.515693686828574	 0.155740274792674	 0.704188869096194	 0.0467458602842871	 2.03422187937091	 0.386997923317875	 0.286529514086374	 0.881754425019917	 1.97239692465688	 1.82914211465167	 1.3943188924735	 1.26127523595118	 0.58511727306119	 0.807944779383437	 1.41054239563332	 0.956161804117463	 0.666255503364626	 0.212411680381676	 0.613940027579576	 0.621103647256267	 1.87277234966782	 0.659721341150746	 0.744527145515722	 0.407475830120344	 0.836207900091883	 1.74121006403598	 1.98594056122193	 1.72369757594157	 1.82239676859997	 1.68544036168683	 1.72363116889007	 1.65576367456148	 1.30213142103833	 1.27968066476031	 1.46966235278502	 1.11924320550871	 1.80635204141358	 0.0836995128312277	 0.5225	 1	 
9000	 -1354.68398757928	 -1287.00371234722	 -8.48132183807601	 -37.1324889712889	 -22.0664644226993	 350.038457688844	 0.267606277295456	 7.0290565561736	 5.6612962843261	 5.85413357427281	 1.1073544380877	 349.710393793341	 349.049138010988	 349.820871949036	 349.87400437168	 349.767454257422	 350.572897531518	 350.272495767173	 349.686637987495	 349.777134330691	 351.107339275252	 350.572968006825	 349.902945145144	 350.067555498249	 349.762434219803	 350.277398162356	 349.969182499896	 350.121802323158	 350.658282806791	 350.694916902137	 350.689295711438	 350.27622517333	 350.244392605853	 350.121137840761	 349.47454087822	 349.224566001737	 348.895090958812	 349.211941715767	 349.495330933889	 349.590327778587	 349.985895487271	 349.979801865098	 349.897547776562	 350.153498806765	 349.841808558128	 349.979120819951	 349.930117297488	 349.855731155584	 350.176893842258	 350.514389107306	 350.613452480416	 350.468250251162	 349.681057537885	 349.596130226789	 349.512787559098	 349.443360737004	 350.283785111083	 350.309076184019	 350.25462126862	 349.88543856609	 350.040361739355	 0.66543987884519	 1.48695417219324	 0.658251360826985	 1.01414338228687	 1.24596848820121	 0.00668534482337172	 1.18710568388457	 1.15878960224709	 0.735192365616801	 1.47881114818296	 1.23881633854319	 0.979429826859806	 0.416885737582139	 0.215877646522999	 0.734209802472754	 0.0467458602842871	 1.96777117385288	 0.203164714936467	 0.286529514086374	 1.23356484925902	 1.91881267813003	 2.09982868371838	 2.48332493635233	 1.09587011418735	 0.569049982558481	 0.938916616707161	 1.62521504473764	 1.23509573948512	 0.758693163763049	 0.199484482495472	 0.85412761116789	 0.215533105674313	 1.30873106088255	 0.233485891193324	 1.08708737646253	 0.421302817349041	 0.729319316403394	 0.95658227510409	 1.73869042596083	 1.97570353428052	 1.24817324034323	 1.78492333232564	 1.19139126706687	 1.41585001863959	 1.20268019847046	 1.64057610723228	 1.4647307644607	 0.855591886577853	 1.18179783879003	 0.0698279030999975	 0.525888888888889	 1	 
10000	 -1354.44685238435	 -1282.03672324512	 -4.90579159647074	 -46.8927774277899	 -20.611560114972	 350.038457688844	 0.267606277295456	 2.25766375707462	 4.84375186131353	 3.30838927787086	 0.970231165843866	 349.710393793341	 349.16969027297	 349.820871949036	 349.87400437168	 349.93109053865	 350.572897531518	 350.272495767173	 349.686637987495	 350.035131700158	 351.107339275252	 350.276995619835	 350.414535119664	 350.067555498249	 349.762434219803	 350.309829919824	 350.058129983377	 350.597820323731	 350.658282806791	 350.694916902137	 350.689295711438	 350.27622517333	 350.244392605853	 349.826527257292	 349.689747645445	 349.192953283196	 348.895090958812	 349.227489759499	 349.054991478234	 349.590327778587	 349.958753459467	 349.979801865098	 349.897547776562	 350.191885457301	 349.841808558128	 349.979120819951	 349.863835555436	 349.855731155584	 350.176893842258	 350.621543883159	 350.613452480416	 350.468250251162	 349.681057537885	 349.596130226789	 349.512787559098	 349.443360737004	 350.283785111083	 350.320870189698	 350.25462126862	 349.88543856609	 349.998233115657	 1.02750925771302	 1.21840046985111	 0.757282568398933	 0.963091098329304	 0.929996956959418	 0.00668534482337172	 1.30863100210411	 0.75340498719695	 1.08382730661503	 1.5146974819418	 1.22247569703888	 0.979429826859806	 0.536689537806268	 0.324645202411728	 0.734209802472754	 0.0467458602842871	 2.61495983065537	 0.242937282805009	 0.170184615211771	 1.07145017729402	 2.02011405248727	 2.09982868371838	 2.01496737456724	 1.09587011418735	 0.52023139131022	 0.523721976091222	 1.62521504473764	 1.07727289240103	 0.483537894953851	 0.145402138827053	 0.481628242775228	 0.350835762980544	 1.74651753550949	 0.508779444582403	 0.657637171161303	 0.262052096018634	 0.550952325971792	 0.880553202554807	 1.15839050514326	 1.58835728248808	 1.19747327632343	 2.47129812675887	 1.46678962509577	 2.52942794962811	 2.56331282413163	 1.23376689056273	 1.40053984462115	 1.13851842812097	 0.866655843702985	 0.113742418782884	 0.5244	 1	 
