real.iter	 postA	 log.lik	 Prior_mean	 Prior_var	 sumHpriorA	 mbm_anc.st	 mbm_sig.sq	 vou_alpha	 vou_sig.sq	 vou_anc.st	 vou_theta1	 sp1_mean	 sp2_mean	 sp3_mean	 sp4_mean	 sp5_mean	 sp6_mean	 sp7_mean	 sp8_mean	 sp9_mean	 sp10_mean	 sp11_mean	 sp12_mean	 sp13_mean	 sp14_mean	 sp15_mean	 sp16_mean	 sp17_mean	 sp18_mean	 sp19_mean	 sp20_mean	 sp21_mean	 sp22_mean	 sp23_mean	 sp24_mean	 sp25_mean	 sp26_mean	 sp27_mean	 sp28_mean	 sp29_mean	 sp30_mean	 sp31_mean	 sp32_mean	 sp33_mean	 sp34_mean	 sp35_mean	 sp36_mean	 sp37_mean	 sp38_mean	 sp39_mean	 sp40_mean	 sp41_mean	 sp42_mean	 sp43_mean	 sp44_mean	 sp45_mean	 sp46_mean	 sp47_mean	 sp48_mean	 sp49_mean	 sp50_mean	 sp1_var	 sp2_var	 sp3_var	 sp4_var	 sp5_var	 sp6_var	 sp7_var	 sp8_var	 sp9_var	 sp10_var	 sp11_var	 sp12_var	 sp13_var	 sp14_var	 sp15_var	 sp16_var	 sp17_var	 sp18_var	 sp19_var	 sp20_var	 sp21_var	 sp22_var	 sp23_var	 sp24_var	 sp25_var	 sp26_var	 sp27_var	 sp28_var	 sp29_var	 sp30_var	 sp31_var	 sp32_var	 sp33_var	 sp34_var	 sp35_var	 sp36_var	 sp37_var	 sp38_var	 sp39_var	 sp40_var	 sp41_var	 sp42_var	 sp43_var	 sp44_var	 sp45_var	 sp46_var	 sp47_var	 sp48_var	 sp49_var	 sp50_var	 acc	 temperature	 
1000	 -1370.16973471497	 -1271.87110118642	 -22.8787319419775	 -55.7176917393281	 -19.7022098472386	 350.038457688844	 0.267606277295456	 0.955135688884184	 1.70570855438592	 0.693175829841554	 2.1417493656723	 349.534756614857	 349.060809822133	 349.718169585344	 349.735591172856	 349.641855220279	 350.552835887416	 350.195442412838	 349.679950230637	 349.390804983017	 350.841618253129	 350.711666952394	 350.523096159284	 350.109810918053	 350.02897934717	 350.2561713245	 350.0816650433	 351.130250164825	 350.71538122797	 350.709312924268	 350.88684940661	 350.233127704922	 350.244392605853	 350.197291947726	 349.653072687488	 349.448256094161	 349.032568001485	 349.519654688489	 349.538837440399	 349.918904361875	 350.071802064933	 350.066408138617	 350.010806044901	 350.044388342796	 349.538315301219	 350.130132190505	 349.993009142817	 350.088866275117	 350.774485933995	 350.670790950085	 350.44416237302	 350.387168882017	 349.462175243199	 349.570139807452	 349.494043896354	 349.650543059468	 349.713136687851	 349.848799755804	 350.239674237982	 349.98493635031	 350.0767680549	 0.811198211615547	 1.61449684300301	 0.733652449924116	 0.898087625476273	 0.697766757176043	 0.00890460743312469	 1.52856164470438	 0.511090647501927	 0.502924216521663	 2.90604834607552	 0.982876105477998	 1.22342815059691	 0.440252307419749	 0.135588888888436	 0.69084895346492	 0.0322618103305335	 3.35802522386605	 0.167660203985459	 0.184555580659287	 1.04689074636868	 1.99889926189659	 2.05854715711884	 1.85222323582014	 1.37672375871878	 0.721634027801142	 0.706037268072487	 2.42110152286438	 1.33171084239657	 0.643949294251367	 0.135421062690865	 0.454962112113888	 0.398311971339985	 0.692312922058981	 0.289020754852609	 0.417044587474399	 0.55131819770765	 0.548903426684374	 1.17472559707857	 2.03652827768043	 1.96590594063766	 1.21644426144846	 2.43015830145178	 1.75942656955505	 2.79536005923491	 2.78349062514726	 0.909645545728297	 0.878219142678829	 0.595135379989776	 1.3831625508667	 0.0981143211336663	 0.424	 1	 
2000	 -1352.03881158301	 -1276.44766477321	 -11.7379310267153	 -44.2186967267153	 -19.6345190563637	 350.038457688844	 0.267606277295456	 0.274337727460079	 1.66228944770217	 0.858453229802071	 1.7240455228374	 349.598746206906	 349.239138555303	 349.718169585344	 349.735591172856	 349.929563947529	 350.54154743487	 350.526910081273	 349.679950230637	 349.415681119655	 350.841618253129	 350.790514766598	 350.826312188044	 350.07737839431	 349.838639126004	 350.033551111922	 349.994247093675	 350.985095852903	 350.72557328295	 350.709312924268	 350.741579629327	 350.254927084478	 350.244392605853	 350.197291947726	 349.653072687488	 349.475238894128	 349.230315830196	 349.410105620571	 349.208715932179	 349.918904361875	 350.071802064933	 349.931695812601	 349.798261816242	 350.044388342796	 349.525066875153	 350.130132190505	 349.993009142817	 349.816575864019	 349.750585122027	 350.45784221423	 350.44416237302	 350.387168882017	 349.462175243199	 349.570139807452	 349.678683986913	 349.650543059468	 349.876686817815	 349.848799755804	 350.359598789006	 350.10942532559	 350.180033972382	 0.811198211615547	 1.41395977550904	 0.733652449924116	 0.898087625476273	 0.527020690576554	 0.00890460743312469	 1.19897432967653	 0.517484401081327	 0.502924216521663	 1.88380153026525	 1.36719313871561	 0.931042761451619	 0.334706387378655	 0.140223165951254	 0.625834807358616	 0.0438483567270683	 3.35802522386605	 0.167660203985459	 0.184555580659287	 0.739095463576574	 1.99889926189659	 2.09366585828544	 1.85222323582014	 1.59374466633073	 1.02191152009857	 0.90612964899518	 2.42110152286438	 1.33171084239657	 0.516616668104251	 0.370821467365209	 0.603366482265555	 0.398311971339985	 1.02924206293635	 0.495470651085578	 0.682306879775824	 0.282819878743271	 0.548903426684374	 1.08982076501032	 1.95030333131514	 1.96590594063766	 1.47789312960255	 2.11486972149161	 2.12067929802174	 2.79536005923491	 2.78349062514726	 0.909645545728297	 0.819556416840621	 1.14448218787669	 1.3831625508667	 0.0981143211336663	 0.436	 1	 
3000	 -1344.327770681	 -1273.49685076215	 -4.36897551100019	 -46.7899646721288	 -19.6719797357149	 350.038457688844	 0.267606277295456	 0.737035223282874	 1.4220737621884	 0.670574336618597	 2.3171849986231	 349.361554035517	 349.07405928861	 349.718169585344	 349.735591172856	 349.632332968672	 350.54154743487	 350.526910081273	 349.870409047688	 349.830274532746	 350.841618253129	 350.790514766598	 350.215144264035	 350.128193083063	 349.856856884111	 350.033551111922	 349.993610434142	 350.985095852903	 350.72557328295	 350.709312924268	 350.741579629327	 350.254927084478	 350.244392605853	 350.197291947726	 349.683395019307	 349.504873893314	 349.230315830196	 349.207427503158	 349.208715932179	 350.053810740744	 350.078524301433	 349.931695812601	 349.797201800712	 350.264676776345	 349.736159328025	 350.270335267695	 349.959962167612	 349.816575864019	 350.029705388774	 350.45784221423	 350.44416237302	 350.767402013225	 349.462175243199	 349.570139807452	 349.678683986913	 349.765917667567	 349.876686817815	 349.848799755804	 350.285075749433	 350.016870008636	 350.180033972382	 0.811198211615547	 1.41395977550904	 0.882498451085963	 0.898087625476273	 0.527020690576554	 0.00890460743312469	 1.15601158278685	 0.696365699286149	 0.485626649657232	 1.88380153026525	 0.816375627098815	 1.20942112451213	 0.334706387378655	 0.140223165951254	 0.625834807358616	 0.0438483567270683	 3.35802522386605	 0.167660203985459	 0.184555580659287	 0.644876487079599	 2.08569655876649	 2.10306293694774	 1.85222323582014	 0.992790900935375	 1.02191152009857	 0.723055084222993	 2.42110152286438	 1.39733949171262	 0.872160854235847	 0.235557946017973	 0.582820029560868	 0.398311971339985	 1.31046583351487	 0.495470651085578	 0.682306879775824	 0.282819878743271	 0.615953704396343	 1.23464745870932	 1.9302658399442	 1.96590594063766	 1.47789312960255	 2.11486972149161	 2.12067929802174	 2.79536005923491	 2.78349062514726	 0.909645545728297	 0.819556416840621	 0.885400305591994	 1.27958313679458	 0.0981143211336663	 0.448333333333333	 1	 
4000	 -1339.36399787898	 -1273.92639813964	 -2.26347200346536	 -43.5495073871037	 -19.6246203487777	 350.038457688844	 0.267606277295456	 0.509777489001863	 1.72695715364937	 0.541386130788547	 1.81583858038073	 349.291349407962	 349.096526068926	 349.718169585344	 349.806397072275	 349.863613859888	 350.54154743487	 350.526910081273	 349.870409047688	 349.85839377849	 350.841618253129	 350.537451893605	 350.363093169861	 350.123417064509	 349.813827498102	 350.033551111922	 349.997034641583	 350.894891397191	 350.72557328295	 350.709312924268	 350.741579629327	 350.254927084478	 350.244392605853	 350.197291947726	 349.75835718906	 349.504873893314	 349.230315830196	 349.207427503158	 349.208715932179	 349.442486487473	 349.910907969162	 349.931695812601	 350.026771635019	 350.079398758999	 349.785114264491	 350.007529191269	 349.959962167612	 349.920014598948	 350.371054977095	 350.45784221423	 350.44416237302	 350.767402013225	 349.462175243199	 349.544732818186	 349.678683986913	 349.789442566373	 349.876686817815	 349.865192650281	 350.285075749433	 350.016870008636	 350.02329583085	 0.811198211615547	 1.41395977550904	 0.896720341645835	 1.14431535446473	 0.47813052064752	 0.00890460743312469	 1.49208479303043	 0.696365699286149	 0.817293526313363	 2.03818500293433	 0.622851749684889	 1.20942112451213	 0.312258921825402	 0.229668212789987	 0.522531119432326	 0.041661578345165	 2.93319754446146	 0.167660203985459	 0.184555580659287	 0.644876487079599	 2.08569655876649	 2.10306293694774	 1.85222323582014	 0.844433095265753	 1.02191152009857	 0.833234677179669	 2.29970134179033	 1.39733949171262	 0.872160854235847	 0.184553165792518	 0.582820029560868	 0.398311971339985	 1.31046583351487	 0.567820133180462	 0.682306879775824	 0.425381246705892	 0.615953704396343	 0.984281365363728	 1.9302658399442	 1.96590594063766	 1.38090000472322	 2.11486972149161	 2.12067929802174	 2.76910473687032	 2.78349062514726	 0.909645545728297	 0.819556416840621	 0.885400305591994	 1.33233073622103	 0.0981143211336663	 0.44625	 1	 
5000	 -1341.14374697208	 -1272.40319090844	 -5.01527263458063	 -44.0952548173576	 -19.6300286117046	 350.038457688844	 0.267606277295456	 0.354296170524321	 1.66244098965862	 0.40353286869308	 1.8666290560855	 349.556325903267	 348.9607847861	 349.702858066894	 349.670975187369	 349.873646341144	 350.54154743487	 350.119070597791	 349.726468083024	 349.494240612359	 351.092710078697	 350.537451893605	 350.216145256071	 350.238915168116	 349.879325367047	 350.153646588763	 350.002825835213	 350.894891397191	 350.693531012319	 350.709312924268	 350.521508374193	 350.254927084478	 350.244392605853	 350.518254006777	 349.75835718906	 349.504873893314	 349.04774454747	 349.207427503158	 349.187717385014	 349.703328717323	 350.155354762636	 350.360380952362	 350.041331183015	 350.079398758999	 349.785114264491	 350.007529191269	 349.959962167612	 349.920014598948	 350.163510423165	 350.45784221423	 350.499564018267	 350.862276644954	 349.766872021427	 349.759719692629	 349.678683986913	 349.799827634368	 349.876686817815	 349.865192650281	 350.082822820254	 350.016870008636	 350.090646608038	 0.811198211615547	 1.41395977550904	 1.04056478782716	 1.14431535446473	 0.47813052064752	 0.00890460743312469	 1.49208479303043	 0.696365699286149	 0.546050520288482	 2.29167675130094	 0.754905300934717	 1.20942112451213	 0.312258921825402	 0.229668212789987	 0.522531119432326	 0.0554274641206935	 2.93319754446146	 0.229945446935168	 0.184555580659287	 0.644876487079599	 2.08569655876649	 2.10306293694774	 2.18948771009793	 0.844433095265753	 1.02191152009857	 0.833234677179669	 2.29970134179033	 1.39733949171262	 0.545390501709371	 0.184553165792518	 0.307007816573792	 0.398311971339985	 1.23131525272018	 0.231459848968491	 0.682306879775824	 0.425381246705892	 0.615953704396343	 0.984281365363728	 1.9302658399442	 1.91336485527078	 1.40012986797938	 2.11486972149161	 2.12067929802174	 2.76910473687032	 2.78349062514726	 0.865854069313348	 0.819556416840621	 0.452378382857753	 0.994159677149878	 0.0981143211336663	 0.4502	 1	 
6000	 -1344.43748390338	 -1272.53469444438	 -7.27936320656108	 -44.9151528074685	 -19.7082734449651	 350.038457688844	 0.267606277295456	 0.705442397622392	 1.7011602735184	 0.364700947356227	 2.32102449460827	 349.556325903267	 348.9607847861	 349.702858066894	 349.771666312527	 349.637892030688	 350.549836173755	 350.119070597791	 350.027804319153	 349.272510947143	 350.594137956172	 350.537451893605	 350.216145256071	 350.238915168116	 349.879325367047	 350.153646588763	 350.047926546122	 350.894891397191	 350.693531012319	 350.714502297085	 350.521508374193	 350.254927084478	 350.244392605853	 350.518254006777	 349.75835718906	 349.308730844045	 349.04774454747	 349.207427503158	 349.187717385014	 349.877052132783	 349.872306719803	 350.11055294265	 350.041331183015	 350.079398758999	 349.785114264491	 350.2249687192	 349.959962167612	 349.894425332618	 350.163510423165	 350.45784221423	 350.499564018267	 350.862276644954	 349.766872021427	 349.840638768279	 349.774064296851	 349.799827634368	 349.876686817815	 349.947285003519	 350.112482746921	 349.922768196619	 350.090646608038	 1.07027645353271	 1.47608219893478	 1.00733753301803	 0.965104771616085	 0.368402072788704	 0.00890460743312469	 1.4407606837657	 0.914217226615842	 0.913528529878898	 2.28707824959641	 1.43156002141195	 1.33463299549491	 0.283158358578725	 0.107412968330828	 0.523603728911296	 0.0554274641206935	 2.93319754446146	 0.229945446935168	 0.184555580659287	 0.644876487079599	 2.10874452387765	 2.10306293694774	 1.43505539158255	 1.02321431634302	 0.625032902375122	 0.680532656269992	 2.29970134179033	 1.14153153548386	 0.277932726969146	 0.184553165792518	 0.632650752822502	 0.226576261441652	 1.10350576031348	 0.343828256978846	 0.682306879775824	 0.425381246705892	 0.607197408267706	 1.87117970838698	 1.9302658399442	 2.15533269396985	 1.50253446819458	 2.11486972149161	 2.12067929802174	 2.72453097088776	 2.77809724254329	 0.927325443686285	 0.982003958409754	 0.777677555814446	 1.46552437447221	 0.0981143211336663	 0.454333333333333	 1	 
7000	 -1335.41917115369	 -1267.20146007353	 -3.3298125742844	 -45.2129219344722	 -19.6749765714074	 350.038457688844	 0.267606277295456	 1.19562396465335	 1.64563310702723	 0.282719992393783	 1.79258893831867	 349.556325903267	 348.9607847861	 349.702858066894	 349.771666312527	 349.637892030688	 350.549836173755	 350.119070597791	 350.027804319153	 349.585803810809	 350.594137956172	 350.537451893605	 350.216145256071	 350.091618601241	 349.860662153379	 350.153646588763	 350.047926546122	 350.96552930121	 350.709904180307	 350.714502297085	 350.521508374193	 350.254927084478	 350.244392605853	 350.518254006777	 349.946127641894	 349.308730844045	 349.04774454747	 349.207427503158	 349.187717385014	 349.877052132783	 349.872306719803	 349.925529039993	 350.041331183015	 350.079398758999	 349.785114264491	 350.2249687192	 349.959962167612	 349.894425332618	 350.163510423165	 350.45784221423	 350.499564018267	 350.862276644954	 349.766872021427	 349.840638768279	 349.774064296851	 349.799827634368	 349.876686817815	 349.819348199968	 350.194478912011	 350.167121887622	 350.090646608038	 0.794893558819147	 1.64436332398105	 1.00733753301803	 0.965104771616085	 0.368402072788704	 0.00890460743312469	 1.1481519643267	 1.18364558711263	 0.49289606286317	 1.91946252964897	 1.43156002141195	 1.33463299549491	 0.283158358578725	 0.107412968330828	 0.523603728911296	 0.0481608542439302	 2.80145416381671	 0.229945446935168	 0.255170884676217	 1.36287013440042	 2.08643311956199	 2.10306293694774	 1.36869184550483	 1.02321431634302	 0.619137984457048	 0.680532656269992	 2.29970134179033	 1.3546744614454	 0.726881595745981	 0.184553165792518	 0.347366602905959	 0.514345048658186	 1.31686626366695	 0.385130899639771	 0.682306879775824	 0.425381246705892	 0.607197408267706	 1.47745708087779	 1.9302658399442	 1.89746404944992	 1.50253446819458	 2.11486972149161	 2.12067929802174	 2.72453097088776	 3.03534054432241	 0.927325443686285	 0.877256872742029	 0.938965617841762	 1.04723533677455	 0.0781644004321406	 0.457	 1	 
8000	 -1335.93828278597	 -1268.47091582107	 -0.229888675489892	 -47.5540329297524	 -19.6834453596504	 350.038457688844	 0.267606277295456	 0.742793330922723	 1.61679357866186	 0.59469597290755	 2.24127213706429	 349.556325903267	 348.9607847861	 349.648031153246	 349.771666312527	 349.783144578576	 350.556378267274	 350.119070597791	 350.027804319153	 349.585803810809	 350.594137956172	 350.384005519915	 350.216145256071	 350.091618601241	 349.959613312405	 350.225936363315	 350.027648587835	 350.788273383326	 350.709904180307	 350.714502297085	 350.521508374193	 350.254927084478	 350.244392605853	 350.062144477782	 350.006456469022	 349.308730844045	 349.04774454747	 349.207427503158	 349.187717385014	 349.877052132783	 350.105080621608	 350.089800769562	 350.041331183015	 350.079398758999	 349.785114264491	 350.2249687192	 349.880990739937	 349.894425332618	 350.163510423165	 350.45784221423	 350.499564018267	 350.589750940605	 349.766872021427	 349.840638768279	 349.774064296851	 349.799827634368	 349.876686817815	 349.819348199968	 350.333836475786	 350.167121887622	 350.090646608038	 0.794893558819147	 1.42823243413091	 1.00893745472863	 0.965104771616085	 0.713734599100395	 0.00890460743312469	 1.63585918811623	 1.18364558711263	 0.675078722892498	 1.87128346875407	 0.83735966306825	 1.34051439976777	 0.283158358578725	 0.107412968330828	 0.663546088160847	 0.0600867857422109	 2.80145416381671	 0.30683171623215	 0.273346319100013	 0.785592649871555	 2.08643311956199	 2.10306293694774	 1.36869184550483	 1.02321431634302	 1.0294733609181	 0.660636613539614	 2.29970134179033	 1.4054996404293	 0.408551121994427	 0.184553165792518	 0.349280119881961	 0.471193137911416	 1.33720253883458	 0.303453321929541	 0.624972196230701	 0.327095349548367	 0.55623679911443	 1.66886037446914	 2.03365173150305	 1.89746404944992	 1.39354020329462	 2.11486972149161	 2.12067929802174	 2.72453097088776	 2.44743625484866	 1.32742814643267	 1.08300572039679	 0.938965617841762	 1.28980480443241	 0.0755605616873669	 0.455625	 1	 
9000	 -1333.47729040768	 -1272.40702694893	 -1.63251784895501	 -39.8198706705531	 -19.6178749392342	 350.038457688844	 0.267606277295456	 0.733439546427689	 1.76187962602936	 0.546619968419508	 1.67447552143661	 349.556325903267	 348.9607847861	 349.648031153246	 349.771666312527	 349.615786826119	 350.5455945741	 350.410364573073	 350.027804319153	 349.763126850041	 351.030024594308	 350.600098561735	 350.216145256071	 350.091618601241	 349.959613312405	 350.225936363315	 350.027648587835	 350.620518625783	 350.709904180307	 350.714502297085	 350.521508374193	 350.254927084478	 350.244392605853	 350.062144477782	 350.006456469022	 349.079106117869	 349.04774454747	 349.207427503158	 349.138903847263	 349.877052132783	 349.97787086469	 350.043966835276	 350.041331183015	 349.927601661544	 349.909635739815	 350.253202183204	 349.880990739937	 349.894425332618	 350.299672582049	 350.554888052957	 350.499564018267	 350.75521860443	 349.766872021427	 349.863315102084	 349.774064296851	 349.799827634368	 349.876686817815	 349.819348199968	 350.040407292169	 349.825046578878	 350.090646608038	 0.794893558819147	 1.42823243413091	 1.10355379388776	 1.17896936212997	 0.713734599100395	 0.00796432993211455	 1.45175461306171	 0.754301700890577	 0.797169064924534	 1.75636393077022	 1.01659937338581	 1.29766388211307	 0.286274542269634	 0.246406779071174	 0.745590916540721	 0.0600867857422109	 2.80145416381671	 0.164360783355137	 0.194544420375603	 0.634241561868018	 2.08643311956199	 2.02277816820351	 1.36869184550483	 1.02321431634302	 0.775588092975267	 1.01722122714985	 2.29970134179033	 1.4054996404293	 0.638257889606516	 0.184553165792518	 0.349280119881961	 0.471193137911416	 1.33720253883458	 0.527992863106081	 0.624972196230701	 0.297802419692745	 0.55623679911443	 1.579804083344	 2.03365173150305	 1.89746404944992	 1.53152407923353	 2.11486972149161	 1.9897578982193	 2.39245094808086	 2.47318578256775	 1.16105437940443	 1.06764121879317	 0.697062406928351	 1.28980480443241	 0.0755605616873669	 0.459777777777778	 1	 
10000	 -1341.84820346558	 -1276.26414836665	 -3.71230959122414	 -42.2271616573603	 -19.6445838503483	 350.038457688844	 0.267606277295456	 0.433082964271307	 1.62882169434857	 0.392934093335568	 2.0215854521554	 349.556325903267	 348.9607847861	 349.648031153246	 349.771666312527	 349.684370949842	 350.522717609264	 350.410364573073	 349.936431406499	 349.818115292223	 350.539743227892	 350.600098561735	 350.216145256071	 350.045945295139	 349.959613312405	 350.225936363315	 350.027648587835	 350.282472989622	 350.709904180307	 350.710888318901	 350.564529007489	 350.254927084478	 350.244392605853	 350.062144477782	 349.565073522244	 349.079106117869	 349.246762507121	 349.207427503158	 349.58075238176	 349.857719445382	 350.021399945641	 350.043966835276	 350.041331183015	 350.322500812226	 349.909635739815	 350.253202183204	 349.880990739937	 350.01619518588	 350.299672582049	 350.554888052957	 350.712916328313	 350.553967278283	 349.766872021427	 349.824388887282	 349.774064296851	 349.799827634368	 349.876686817815	 349.819348199968	 350.135055105745	 349.825046578878	 350.069394116829	 0.794893558819147	 1.37983209591006	 1.10355379388776	 1.17896936212997	 0.713734599100395	 0.00796432993211455	 1.45175461306171	 1.07405483301425	 0.797169064924534	 2.16804214357084	 1.01659937338581	 1.0597834227832	 0.21614856844383	 0.121373466104057	 0.745590916540721	 0.0600867857422109	 2.80145416381671	 0.164360783355137	 0.194544420375603	 0.634241561868018	 2.08798007375531	 2.02277816820351	 1.36869184550483	 1.5324336851644	 0.732163556624002	 1.01766871256063	 2.63952942399672	 1.57135395954334	 0.638257889606516	 0.184553165792518	 0.501516400130347	 0.471193137911416	 0.948309504275619	 0.603433543034289	 0.494585933434064	 0.50395733214658	 0.55623679911443	 1.1876420020932	 1.49731442663712	 1.87230262317875	 1.53152407923353	 2.12472718830209	 1.9897578982193	 2.36874565105011	 2.37475294047174	 1.04940583040653	 1.06764121879317	 0.778309491967954	 1.00306087979733	 0.0755605616873669	 0.4614	 1	 
